id;OEM;Артикул;Бренд;Группа;Деталь;Номенклатура;З/Н;Комментарий;Цена;Новинка;Уникльный ключ;Категория по бренду;Ранг по бренду;Категория по деталям;Ранг по деталям;Ранг;abc/xyz;Дата;Компания
525089;AMD.FC967A;272778980R;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 272778980R/AMD.FC967A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);RENAULT (Scenic III JZ0/1) (2009-);337,00;;525089AMD.FC967A;;0;;0;4547;CZ;01.08.2023;Москворечье
519517;AMD.JFC83A;27891BM401KE;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 27891-BM401-KE/AMD.JFC83A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);NISSAN (Almera Classiс B10) (-2012) (Almera N16E) (-2011) (Primera P12) (-2007) (Teana J31) (-2008);446,00;;519517AMD.JFC83A;CZ;1222;BY;66;1222;BY;01.08.2023;Москворечье
519523;AMD.FC739A;27891EL00A;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 27891-EL00A/AMD.FC739A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);NISSAN (Tiida SC11X) (Tiida II C11X) (2007-);524,00;;519523AMD.FC739A;;0;;0;4547;CZ;01.08.2023;Москворечье
524972;AMD.FC955A;2994769;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 2994769/AMD.FC955A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);IVECO (DAILY IV) (2006-2011) (DAILY V) (2011-2014);340,00;;524972AMD.FC955A;;0;;0;4547;CZ;01.08.2023;Москворечье
519540;AMD.FC824A;30612666;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 30612666/AMD.FC824A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);VOLVO (S40 VS) (1996-2004) (V40 VW) (1995-2004);463,00;;519540AMD.FC824A;;0;;0;4547;CZ;01.08.2023;Москворечье
518546;AMD.FC794A;30630752;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 30630752/AMD.FC794A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);VOLVO (S60 RS,RH) (2000-2009) (V70 II SW,SJ) (2000-2007) (XC70 Cross Country/ V70XC SZ,LZ) (2000-200;921,00;;518546AMD.FC794A;;0;;0;4547;CZ;01.08.2023;Москворечье
518551;AMD.FC793A;31390880;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 31390880/AMD.FC793A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);VOLVO (S60 II FS) (2010-) (S80 II AS,AR) (2006-2011) (V60 FW) (2010-) (V70 III BW) (2007-) (XC60 DZ);701,00;;518551AMD.FC793A;;0;;0;4547;CZ;01.08.2023;Москворечье
520840;AMD.FC869A;31407748;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 31407748/AMD.FC869A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);VOLVO (XC60 II UZ) (2017-) (XC90 II L_) (2014-2018);473,00;;520840AMD.FC869A;CZ;1345;BY;84;1345;BY;01.08.2023;Москворечье
524990;AMD.FC976A;31497285;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 31497285/AMD.FC976A (антибактериальный, угольный) AMD;AMD / FCR 2018 (Склад);VOLVO (XC40 XZ) (2017-);887,00;;524990AMD.FC976A;;0;;0;4547;CZ;01.08.2023;Москворечье
525283;AMD.FC725A;3D0898644;AMD;Фильтр (2015);Фильтр салонный антибактериальный (2015);.Фильтр салонный 3D0898644/AMD.FC725A (антибактериальный, угольный) (2шт) AMD;AMD / FCR 2018 (Склад);VOLKSWAGEN (Phaeton 3D2) (2002-);822,00;;525283AMD.FC725A;;0;;0;4547;CZ;01.08.2023;Москворечье
